Category ID,Category,Event,Event description,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on
G66,List of famines,Ireland: 1846-1852,Ireland: 1846-1852,1846,1852,1000000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,India: 1860-1861,India: 1860-1861,1860,1861,2000000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,Cape Verde: 1863-1867,Cape Verde: 1863-1867,1863,1867,30000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,India: 1866-1867,India: 1866-1867,1866,1867,961043,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,Finland: 1868-1868,Finland: 1868-1868,1868,1868,100000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,India: 1868-1870,India: 1868-1870,1868,1870,1500000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,Persia (now Iran): 1870-1871,Persia (now Iran): 1870-1871,1870,1871,1000000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,Brazil: 1876-1879,Brazil: 1876-1879,1876,1879,750000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,India: 1876-1879,India: 1876-1879,1876,1879,7176346,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,China: 1877-1879,China: 1877-1879,1877,1879,11000000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,USA (St. Lawreence Island Alaska): 1878-1880,USA (St. Lawreence Island Alaska): 1878-1880,1878,1880,1000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,Congo: 1885-1899,Congo: 1885-1899,1885,1899,3000000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,Sudan: 1888-1892,Sudan: 1888-1892,1888,1892,2000000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,India: 1888-1889,India: 1888-1889,1888,1889,150000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,Ethiopia: 1888-1892,Ethiopia: 1888-1892,1888,1892,1000000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,Russia: 1891-1892,Russia: 1891-1892,1891,1892,275000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,India: 1896-1897,India: 1896-1897,1896,1897,3887287,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,Brazil: 1896-1900,Brazil: 1896-1900,1896,1900,1000000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,China: 1897-1901,China: 1897-1901,1897,1901,1000000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,India: 1899-1901,India: 1899-1901,1899,1901,2699790,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,S Africa: 1899-1902,S Africa: 1899-1902,1899,1902,42000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,Cape Verde: 1900-1903,Cape Verde: 1900-1903,1900,1903,15500,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,Nigeria (Hausaland): 1903-1906,Nigeria (Hausaland): 1903-1906,1903,1906,5000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,Namibia: 1904-1907,Namibia: 1904-1907,1904,1907,55017,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,Tanzania (south): 1906-1907,Tanzania (south): 1906-1907,1906,1907,118750,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,India: 1907-1908,India: 1907-1908,1907,1908,2683782,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,Niger: 1910-1910,Niger: 1910-1910,1910,1910,85000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,West Africa (Sahel): 1913-1914,West Africa (Sahel): 1913-1914,1913,1914,125000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,Greater Syria (including Lebanon): 1915-1918,Greater Syria (including Lebanon): 1915-1918,1915,1918,350000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,Turkey (Armenians): 1915-1916,Turkey (Armenians): 1915-1916,1915,1916,400000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,Germany: 1917-1918,Germany: 1917-1918,1917,1918,763000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,Persia (now Iran): 1917-1919,Persia (now Iran): 1917-1919,1917,1919,455200,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,East Africa: 1917-1919,East Africa: 1917-1919,1917,1919,300000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,Armenia: 1919-1919,Armenia: 1919-1919,1919,1919,200000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,Cape Verde: 1920-1922,Cape Verde: 1920-1922,1920,1922,24500,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,"China (Gansu, Shaanxi): 1920-1921","China (Gansu, Shaanxi): 1920-1921",1920,1921,500000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,USSR: 1921-1922,USSR: 1921-1922,1921,1922,9000000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,China (northwest): 1927-1927,China (northwest): 1927-1927,1927,1927,4500000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,China (Hunan): 1929-1929,China (Hunan): 1929-1929,1929,1929,2000000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,Libya: 1930-1931,Libya: 1930-1931,1930,1931,50000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,USSR (Ukraine): 1932-1934,USSR (Ukraine): 1932-1934,1932,1934,5650000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,"USSR (Russia, Kazakhstan): 1932-1934","USSR (Russia, Kazakhstan): 1932-1934",1932,1934,1500000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,China (Sichuan): 1934-1937,China (Sichuan): 1934-1937,1934,1937,5000000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,Cape Verde: 1940-1943,Cape Verde: 1940-1943,1940,1943,20000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,Europe/USSR (collection of WWII-related events): 1941-1950,Europe/USSR (collection of WWII-related events): 1941-1950,1941,1950,6333000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,East/Southeast Asia (collection of WWII-related events): 1941-1945,East/Southeast Asia (collection of WWII-related events): 1941-1945,1941,1945,5444000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,China (Henan): 1943-1943,China (Henan): 1943-1943,1943,1943,3250000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,India (Bengal): 1943-1943,India (Bengal): 1943-1943,1943,1943,2550000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,Rwanda: 1943-1944,Rwanda: 1943-1944,1943,1944,300000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,Netherlands: 1944-1944,Netherlands: 1944-1944,1944,1944,10000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,Cape Verde: 1946-1948,Cape Verde: 1946-1948,1946,1948,30000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,USSR (Ukraine and Belorussia): 1946-1947,USSR (Ukraine and Belorussia): 1946-1947,1946,1947,1300000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,Ethiopia (Tigray): 1957-1958,Ethiopia (Tigray): 1957-1958,1957,1958,248500,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,China: 1959-1961,China: 1959-1961,1959,1961,24000000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,Ethiopia (Wallo): 1966-1966,Ethiopia (Wallo): 1966-1966,1966,1966,52500,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,Indonesia: 1962-1968,Indonesia: 1962-1968,1962,1968,67700,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,Nigeria (Biafra): 1968-1970,Nigeria (Biafra): 1968-1970,1968,1970,750000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,West Africa (Sahel): 1969-1974,West Africa (Sahel): 1969-1974,1969,1974,50500,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,India (Maharashtra): 1972-1973,India (Maharashtra): 1972-1973,1972,1973,130000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,Ethiopia (Wallo & Tigray): 1972-1975,Ethiopia (Wallo & Tigray): 1972-1975,1972,1975,350000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,Somalia: 1974-1975,Somalia: 1974-1975,1974,1975,20000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,Bangladesh: 1974-1974,Bangladesh: 1974-1974,1974,1974,1000000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,Cambodia: 1979-1979,Cambodia: 1979-1979,1979,1979,1605000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,Chad: 1980-1980,Chad: 1980-1980,1980,1980,3000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,Uganda: 1980-1981,Uganda: 1980-1981,1980,1981,30000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,Mozambique: 1982-1985,Mozambique: 1982-1985,1982,1985,100000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,Ethiopia: 1983-1985,Ethiopia: 1983-1985,1983,1985,795000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,"Sudan (Darfur, Kordofan): 1984-1985","Sudan (Darfur, Kordofan): 1984-1985",1984,1985,245000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,Sudan (south): 1988-1988,Sudan (south): 1988-1988,1988,1988,175000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,Somalia: 1991-1993,Somalia: 1991-1993,1991,1993,360000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,North Korea: 1995-1999,North Korea: 1995-1999,1995,1999,420000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,Sudan (Baht el Ghazal): 1998-1998,Sudan (Baht el Ghazal): 1998-1998,1998,1998,85000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,Democratic Republic of Congo: 1998-2007,Democratic Republic of Congo: 1998-2007,1998,2007,3131500,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,Malawi: 2002-2002,Malawi: 2002-2002,2002,2002,1650,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,Sudan (Darfur): 2003-2005,Sudan (Darfur): 2003-2005,2003,2005,200000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,Uganda: 2003-2006,Uganda: 2003-2006,2003,2006,100000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
G66,List of famines,Somalia: 2011-2011,Somalia: 2011-2011,2011,2011,255000,Joe Hasell and Max Roser (2013) - 'Famines'. Published online at OurWorldInData.org. Retrieved from: 'https://ourworldindata.org/famines' [Online Resource],2023-07-15
