Category ID,Category,Event,Event description,Location,Timepoint start,Timepoint end,Quantity outcome 1,Reference/link to data,Accessed on
7,Major dam failures,Tous Dam,"Heavy flooding coupled with poor quality of the dam wall, lack of qualified staff and negligence of a warning of heavy rain in the area. On the next day, newspapers reported possibly 40 fatalities and 25 disappeared but in the coming days the count went down to 8 or 9. One year later, La Vanguardia spoke of 25.",Valencia - Spain,1982-10-20,,8,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Val di Stava dam,Poor maintenance and low margin for error in design; outlet pipes failed leading to pressure on dam.,Tesero - Italy,1985-07-19,,268,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Kantale Dam,"Poor maintenance, leakage, and consequent failure. Destroyed over 1600 houses and 2000 acres of paddy fields. Dam was 1400 years old, and heavy modern vehicles were driven across it.",Kantale - Sri Lanka,1986-04-20,,180,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Upriver Dam,"Lightning struck power system, turbines shut down. Water rose behind dam while trying to restart. Backup power systems failed, could not raise spillway gates in time. Dam overtopped (rebuilt).",Spokane - United States,1986-05-20,,0,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Belci dam failiure,"The embankment dam, built between 1958 and 1962 for the Borzești Petrochemical Plant on the Tazlău river, collapsed after record rainfall firstly overtopped the structure, followed by its breach later onwards. As the event happened in the night, 250 houses were destroyed, killing 25 people in the process.",Belci - Romania,1991-07-29,,25,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Peruća Dam detonation,Not strictly a dam failure as there was a detonation of pre-positioned explosives by retreating Serb Forces.,Split-Dalmatia County - Croatia,1993-01-28,,0,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Merriespruit tailings dam,Dam failed after a heavy thunderstorm. The dam was in an unacceptable condition prior to failure. Widespread devastation and environmental damage.,Free State - South Africa,1994-02-22,,17,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Meadow Pond Dam,Design and construction deficiencies resulted in failure in heavy icing conditions.,New Hampshire - United States,1996-03-13,,1,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Saguenay Flood,"Problems started after two weeks of constant rain, which severely engorged soils, rivers and reservoirs. Post-flood enquiries discovered that the network of dikes and dams protecting the city was poorly maintained.",Quebec - Canada,1996-07-19,,10,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Opuha Dam,"Heavy rain during construction caused failure, dam was later completed.",Canterbury - New Zealand,1997-02-06,,0,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Virgen Dam,"Heavy rains and flooding from Hurricane Mitch severely damaged the Mancotal and El Dorado Dams, over-topping their spillways and nearly destroying the dams. The Virgen Dam was destroyed but later rebuilt.",Matagalpa - Nicaragua,1998,,0,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Doñana disaster,"Over-steepened dam failed by sliding on weak clay foundation, releasing 4-5 million cubic metres of acidic mine tailings into the River Agrio, a tributary of the River Guadiamar, which is the main water source for the Doñana National Park, a UNESCO World Heritage Site.",Andalusia - Spain,1998-04-25,,0,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Shihgang Dam,Caused by damage sustained during the 1999 Jiji earthquake.,Taichung - Taiwan,1999-09-21,,0,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Martin County coal slurry spill,"Failure of a coal slurry impoundment. The water supply for over 27,000 residents was contaminated. The spill was 30 times larger than the Exxon Valdez oil spill and one of the worst environmental disasters ever in the southeastern United States","Martin County, Kentucky - United States",2000-10-11,,0,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Vodní nádrž Soběnov,Extreme rainfall during the 2002 European floods.,Soběnov - Czechia,2002,,0,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Zeyzoun Dam,"2,000 individuals displaced and over 10,000 directly affected.",Zeyzoun - Syria,2002-06-04,,22,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Silver Lake Dam,"Heavy rains caused earthen Fuse plug dam and bank to wash away. 1,800 people evacuated. Flood caused the failure of the downstream Tourist Park Dam.",Michigan - United States,2003-05-14,,0,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Hope Mills Dam,"In heavy rains, floodgate held shut bay water pressure. 1,600 people evacuated.",North Carolina - United States,2003-05-26,,0,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Ringdijk Groot-Mijdrecht [nl],"Strictly not a dam or dike failure. The original peat soil surrounding a polder (where peat had subsided due to oxidization) was pushed away by the water in the canal. The peat became lighter than water during the 2003 drought. The real cause was new wooden piling along the canal. This new piling was water-tight and therefore the peat soil dried out. Around 1,500 residents had to be evacuated.",Wilnis - Netherlands,2003-08-23,,0,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Big Bay Dam,"A small hole in the dam grew, spouted higher, and eventually led to failure. 104 buildings damaged or destroyed.",Mississippi - United States,2004-03-12,,0,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Camará Dam,Poor maintenance. 3000 people homeless. A second failure happened 11 days after.,Paraiba - Brazil,2004-06-17,,3,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Shakidor Dam,Sudden and extreme flooding caused by abnormally severe rain.,Pasni - Pakistan,2005-02-10,,70,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Taum Sauk reservoir,Computer/operator error; gauges intended to mark dam full were not respected; dam continued to fill. Minor leakages had also weakened the wall through piping. The dam of the lower reservoir withstood the onslaught of the flood.,"Lesterville, Missouri - United States",2005-12-14,,0,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Ka Loko Dam,"Heavy rain and flooding. Several possible specific factors to include poor maintenance, lack of inspection and illegal modifications.","Kauai, Hawaii - United States",2006-03-14,,7,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Campos Novos Dam,Tunnel collapse.,Campos Novos - Brazil,2006-06-20,,0,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Gusau Dam,"Heavy flooding, lack of maintenance. Approximately 500 homes were destroyed, displacing 1,000 people.",Gusau - Nigeria,2006-09-30,,40,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Lake Delton,"Failure in June 2008 Midwest floods; nearby highway washed out, creating a new channel which drained the lake.",Lake Delton - United States,2008-06-09,,0,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Koshi Barrage,Neglection of barrage and the building of barrage itself. The region however saw weak monsoon and multi-year drought preceding the barrage failuire. The flood affected over 2.3 million people in the northern part of Bihar.,Koshi Zone - Nepal,2008-08-18,,250,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Kingston Fossil Plantcoal fly ash slurry spill,Failure of a fly ash slurry pond.,"Roane County, Tennessee - United States",2008-12-22,,0,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Algodões Dam,"Heavy rain. 80 people injured, 2000 homeless.",Piaui - Brazil,2009-05-27,,7,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Situ Gintung Dam,Poor maintenance and heavy monsoon rain.,Tangerang - Indonesia,2009-03-27,,98,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Sayano-Shushenskaya Dam,"Not a dam failure, but rather the power station accident where the turbine 2 broke apart violently due to the metal fatigue caused by overlooked vibrations, flooding the turbine hall and causing the ceiling to collapse. The dam itself was unaffected, and the power station rebuilt within 5 years.",Sayanogorsk - Russia,2009-08-17,,75,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Kyzyl-Agash Dam,"Heavy rain and snowmelt. Causes, deathtoll disputed. 300 people were injured and over 1000 evacuated from the village.",Qyzylaghash - Kazakhstan,2010-03-11,,43,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Hope Mills Dam,"Sinkhole caused dam failure. Second failure of the dam, will be replaced.",North Carolina - United States,2010-06-16,,0,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Testalinda Dam,"Heavy Rain, low maintenance. Destroyed at least 5 homes. Buried Highway 97.","Oliver, British Columbia - Canada",2010-06-13,,0,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Delhi Dam,"Heavy rain, flooding, malfunctioning spillwy and structural problems. Around 8,000 people had to be evacuated. Replacement uncertain due to lake-dredging debt.",Iowa - United States,2010-07-24,,0,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Niedow Dam,"Heavy rain, over-topped from flooding.",Lower Silesian Voivodeship - Poland,2010-08-07,,1,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Ajka alumina plant accident,Failure of concrete impound wall on alumina plant tailings dam. One million cubic meters of red mud contaminated a large area; within days the mud had reached the Danube.,Ajka - Hungary,2010-10-04,,10,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Kenmare Resources tailings dam,Failure of tailings dam at titanium mine. 300 homes had been rebuilt.,Topuito - Mozambique,2010-10-04,,1,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Fujinuma Dam,"Failed after 2011 Tōhoku earthquake. Authorities state that the dam failure was caused by the earthquake, making these the first earthquake-caused dam failure fatalities since 1930, worldwide. Nearby dams damaged by same earthquake.",Sukagawa - Japan,2011-03-11,,8,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Campos dos Goytacazes dam,Failed after a period of flooding. 4000 people displaced.,Campos dos Goytacazes - Brazil,2012-01-04,,0,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Ivanovo Dam,Failed after a period of heavy snowmelt. A crack in the dam went unrepaired for years. Eight people killed and several communities flooded.,Biser - Bulgaria,2012-02-06,,8,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Köprü Dam,A gate in the diversion tunnel broke after a period of heavy rain during the reservoir's first filing. The accident killed ten workers.,Adana Province - Turkey,2012-02-24,,10,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Dakrong 3 Dam,Poor design aggravated by Typhoon Gaemi flood surge.,Quảng Trị Province - Vietnam,2012-10-07,,0,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Tokwe Mukorsi Dam,"Downstream slope failure on a 90.3 m (296 ft) tall embankment dam, possibly as the reservoir was being filled. Residents evacuated upstream.",Masvingo Province - Zimbabwe,2014-02-04,,0,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Mount Polley,Tailings dam collapse due to negligent operation; reservoir was overfilled beyond design parameters despite repeated warnings of the danger combined with a minor dam breach a few months before and fundamental design flaws.,British Columbia - Canada,2014-08-04,,0,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Mariana dam disaster,"Tailings dam collapsed. One village destroyed, 600 people evacuated. 60 million cubic meters of iron waste slurry polluted Doce River, and the sea near the river's mouth.","Mariana, Minas Gerais - Brazil",2015-11-05,,19,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Maple Lake,"A heavy rainstorm caused a section of a dam to crumble because of the weight of a pond above, which happened around 5 a.m.","Paw Paw, Michigan - United States",2017-10-05,,0,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Patel Dam,"Failed after several days of heavy rain. Private dam, causes unclear.",Solai - Kenya,2018-05-10,,47,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Panjshir Valley dam,"Dilapidated dam crumbled under heavy summer rains, 13 missing, 300 houses destroyed.",Panjshir Valley - Afghanistan,2018-07-11,,10,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Xe-Pian Xe-Namnoy Dam,"Saddle dam under construction collapsed during rainstorms. 6600 people homeless, 98 missing. Company denied the dam had collapsed.",Attapeu Province - Laos,2018-07-23,,36,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Swar Chaung Dam,"Breach in the dam's spillway. 63,000 evacuated, 3 missing. 85 villages affected.",Yedashe - Myanmar,2018-08-19,,4,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,"Sanford Dam, Patricia Lake","Overtopping after over 36"" rainfall during landfall of Hurricane Florence.","Boiling Spring Lakes, North Carolina - United States",2018-09-15,,0,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Brumadinho dam disaster,Tailings dam suffered a catastrophic failure releasing 12 million cubic meters of tailings slurry.,"Brumadinho, Minas Gerais - Brazil",2019-01-25,,270,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Spencer Dam,Dam was breached after a major storm caused heavy rain.,"Near Spencer, Nebraska - United States",2019-03-14,,0,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Tiware Dam,Heavy rains overtopped and breached the dam.,Ratnagiri District - India,2019-07-02,,23,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Edenville Dam,Static liquefaction.,"Edenville, Michigan - United States",2020-05-19,,0,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Sanford Dam,"The failure of the Edenville Dam immediately upstream caused a large inflow into Sanford Lake, which overtopped the dam.","Sanford, Michigan - United States",2020-05-19,,0,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,2021 Uttarakhand flood,"The Rishiganga dam was destroyed by either an avalanche or a glacier burst, leading to a large surge of water downstream that also breached the Tapovan Hydropower Plant. 145 people missing.","Chamoli, Uttarkhand - India",2021-02-07,,61,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,2022 Jagersfontein Dam Collapse,Structural failure.,"Jagersfontein, Free State - South Africa",2022-09-11,,3,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
7,Major dam failures,Destruction of the Kakhovka Dam,"Unknown, presumed intentional explosion.","Nova Kakhovka, Kherson Oblast - Ukraine",2023-06-06,,Un­known,https://en.wikipedia.org/wiki/Dam_failure,2023-08-30
