Category ID,Category,Event,Event description,CountryCodes,,,,,,,,,
G65,Intra-state (civil) wars,Spainish Liberals War of 1868,Civil war - for central control: Spain vs. Liberals,Spain,,,,,,,,,
G65,Intra-state (civil) wars,Cabanada War of 1832-1835,Civil war - for central control: Brazil vs. Pernambuco Cabanos,Brazil,,,,,,,,,
G65,Intra-state (civil) wars,Third Colombian War of 1860-1862,Civil war - for central control: Colombia vs. Liberals,Colombia,,,,,,,,,
G65,Intra-state (civil) wars,Kanto Insurrection of 1864-1865,Civil war - for central control: Japan vs. Mito Rebels,Japan,,,,,,,,,
G65,Intra-state (civil) wars,Venezuela's Legalist Revolution of 1892,Civil war - for central control: Venezuela vs. Legalists,Venezuela,,,,,,,,,
G65,Intra-state (civil) wars,Romanian Peasant Revolt of 1907,Civil war - for central control: Rumania vs. Peasants,Rumania,,,,,,,,,
G65,Intra-state (civil) wars,Miguelite War of 1832-1834,"Civil war - for central control: Portugal vs. United Kingdom, Constitutionalists",Portugal,United Kingdom,,,,,,,,
G65,Intra-state (civil) wars,Third Buenos Aires War of 1861-1862,Civil war - for central control: Argentina vs. Buenos Aires,Argentina,,,,,,,,,
G65,Intra-state (civil) wars,Spanish Royalists War of 1821-1823,Civil war - for central control: Spain vs. Royalists,Spain,,,,,,,,,
G65,Intra-state (civil) wars,Constitutionalist Rebellion of 1865-1866,Civil war - for central control: Bolivia vs. Constitutionalists,Bolivia,,,,,,,,,
G65,Intra-state (civil) wars,First Afghan Anti-Reform War of 1924-1925,Civil war - for central control: Afghanistan vs. Khost Rebels,Afghanistan,,,,,,,,,
G65,Intra-state (civil) wars,Chilean Coup of 1973,Civil war - for central control: Chile vs. Military Rebels,Chile,,,,,,,,,
G65,Intra-state (civil) wars,Campos Mutiny of 1890,Civil war - for central control: Argentina vs. Campos-led Rebels,Argentina,,,,,,,,,
G65,Intra-state (civil) wars,Third Argentina War of 1866-1867,Civil war - for central control: Argentina vs. Monteneros,Argentina,,,,,,,,,
G65,Intra-state (civil) wars,First French Insurrection of 1830,Civil war - for central control: France vs. Liberals,France,,,,,,,,,
G65,Intra-state (civil) wars,War of  Ecuadorian Generals of 1912,Civil war - for central control: Ecuador vs. Alfaristas,Ecuador,,,,,,,,,
G65,Intra-state (civil) wars,Satsuma Rebellion of 1877,Civil war - for central control: Japan vs. Satsumas,Japan,,,,,,,,,
G65,Intra-state (civil) wars,Anti-Nimeiry Revolt of 1976,Civil war - for central control: Sudan vs. National Front,Sudan,,,,,,,,,
G65,Intra-state (civil) wars,Ecuadorian Conservative Revolt of 1896,Civil war - for central control: Ecuador vs. Conservatives,Ecuador,,,,,,,,,
G65,Intra-state (civil) wars,Patuleia War of 1846-1847,"Civil war - for central control: Spain, Portugal vs. Septembrists",Spain,Portugal,,,,,,,,
G65,Intra-state (civil) wars,Sixth Colombian War of 1895,Civil war - for central control: Colombia vs. War Liberals,Colombia,,,,,,,,,
G65,Intra-state (civil) wars,Peruvian Liberal Revolution of 1853-1855,Civil war - for central control: Peru vs. Liberals,Peru,,,,,,,,,
G65,Intra-state (civil) wars,Brazil Naval War of 1893-1894,Civil war - for central control: Brazil vs. Naval Royalists,Brazil,,,,,,,,,
G65,Intra-state (civil) wars,First Venezuela War of 1848-1849,Civil war - for central control: Venezuela vs. Paez-led Rebels,Venezuela,,,,,,,,,
G65,Intra-state (civil) wars,Chad - FAP War of 1977-1978,"Civil war - for central control: France, Chad vs. Libya, FAP",France,Chad,Libya,,,,,,,
G65,Intra-state (civil) wars,Barquisimeto Rebellion of 1854,Civil war - for central control: Venezuela vs. Rodriguez-led Rebels,Venezuela,,,,,,,,,
G65,Intra-state (civil) wars,Zacatecas Rebellion of 1835,Civil war - for central control: Mexico vs. Zacatecas Militia,Mexico,,,,,,,,,
G65,Intra-state (civil) wars,Second Peru War of 1856-1858,Civil war - for central control: Peru vs. Conservatives,Peru,,,,,,,,,
G65,Intra-state (civil) wars,Russian Civil War of 1917-1920,"Civil war - for central control: Russia vs. Finland, Japan, United Kingdom, United States of America, France, Anti-Bolsheviks",Russia,Finland,Japan,United Kingdom,United States of America,France,,,,
G65,Intra-state (civil) wars,Meiji Restoration of 1868-1869,Civil war - for central control: Japan vs. Tokugawa Bafuku,Japan,,,,,,,,,
G65,Intra-state (civil) wars,First Zhili-Fengtien War of 1922,Civil war - for central control: China vs. Zhili Faction,China,,,,,,,,,
G65,Intra-state (civil) wars,Bloody Sunday War of 1905-1906,Civil war - for central control: Russia vs. Workers and Peasants,Russia,,,,,,,,,
G65,Intra-state (civil) wars,Venezuelan Federal War of 1859-1863,Civil war - for central control: Venezuela vs. Liberals,Venezuela,,,,,,,,,
G65,Intra-state (civil) wars,Tampico Revolt of 1838-1839,Civil war - for central control: Mexico vs. Federalists,Mexico,,,,,,,,,
G65,Intra-state (civil) wars,Ecuador's Veintemilla Revolt of 1876,Civil war - for central control: Ecuador vs. Liberals,Ecuador,,,,,,,,,
G65,Intra-state (civil) wars,Taiping Rebellion phase 2 of 1860-1866,"Civil war - for central control: United Kingdom, China vs. Taipings",United Kingdom,China,,,,,,,,
G65,Intra-state (civil) wars,First Colombian War of 1840-1842,Civil war - for central control: Colombia vs. Progressives,Colombia,,,,,,,,,
G65,Intra-state (civil) wars,Bluefields Insurrection of 1909-1910,Civil war - for central control: Nicaragua vs. Estradistas,Nicaragua,,,,,,,,,
G65,Intra-state (civil) wars,Uganda-NRA War of 1982-1986,Civil war - for central control: Uganda vs. NRA,Uganda,,,,,,,,,
G65,Intra-state (civil) wars,Chinese Northern Expedition of 1926-1928,"Civil war - for central control: China, Japan vs. GMD and CCP",China,Japan,,,,,,,,
G65,Intra-state (civil) wars,Third Mexican War of 1910-1914,"Civil war - for central control: Mexico vs. United States, Liberals and Radicals",Mexico,United States,,,,,,,,
G65,Intra-state (civil) wars,Fifth Colombian War of 1884-1885,Civil war - for central control: Colombia vs. War Liberals,Colombia,,,,,,,,,
G65,Intra-state (civil) wars,Triangular Revolt of 1841,Civil war - for central control: Mexico vs. Military Rebels,Mexico,,,,,,,,,
G65,Intra-state (civil) wars,First Two Sicilies War of 1820-1821,"Civil war - for central control: Austria, Two Sicilies vs. Liberals",Austria,,,,,,,,,
G65,Intra-state (civil) wars,Bolivan Perez Rebellion of 1862,Civil war - for central control: Bolivia vs. Perez-led Rebels,Bolivia,,,,,,,,,
G65,Intra-state (civil) wars,Second Argentina War of 1863,Civil war - for central control: Argentina vs. Monteneros,Argentina,,,,,,,,,
G65,Intra-state (civil) wars,Ikhwan Revolt of 1929-1930,Civil war - for central control: Saudi Arabia vs. Ikhwan,Saudi,,,,,,,,,
G65,Intra-state (civil) wars,Central Plains War of 1929-1930,Civil war - for central control: China vs. Warlord Armies,China,,,,,,,,,
G65,Intra-state (civil) wars,Brazil Federalists War of 1893-1894,Civil war - for central control: Brazil vs. Rio Grande do Sul,Brazil,,,,,,,,,
G65,Intra-state (civil) wars,Second Two Sicilies War of 1848-1849,Civil war - for central control: Two Sicilies vs. Liberals,Italy,,,,,,,,,
G65,Intra-state (civil) wars,Chinese Civil War phase 1 of 1930-1936,Civil war - for central control: China vs. Chinese Workers,China,,,,,,,,,
G65,Intra-state (civil) wars,Janissari Revolt of 1826,Civil war - for central control: Ottoman Empire vs. Janissaries,Ottoman,,,,,,,,,
G65,Intra-state (civil) wars,Viennese Revolt of 1848,Civil war - for central control: Austria vs. Vienna Liberals,Austria,,,,,,,,,
G65,Intra-state (civil) wars,Ecuador Liberals War of 1895,Civil war - for central control: Ecuador vs. Liberals,Ecuador,,,,,,,,,
G65,Intra-state (civil) wars,Matanza War of 1932,Civil war - for central control: El Salvador vs. Leftists,El Salvador,,,,,,,,,
G65,Intra-state (civil) wars,Chad - Deby War of 1989-1990,Civil war - for central control: Chad vs. April 1 Movement,Chad,,,,,,,,,
G65,Intra-state (civil) wars,Venezualan Blue Revolution of 1867-1868,Civil war - for central control: Venezuela vs. Blue Coalition,Venezuela,,,,,,,,,
G65,Intra-state (civil) wars,Paulista Rebellion of 1932,Civil war - for central control: Brazil vs. Paulistas,Brazil,,,,,,,,,
G65,Intra-state (civil) wars,First Chilean War of 1851-1852,Civil war - for central control: Chile vs. Liberals,Chile,,,,,,,,,
G65,Intra-state (civil) wars,Fukien Revolt of 1933-1934,Civil war - for central control: China vs. 19th Route Army,China,,,,,,,,,
G65,Intra-state (civil) wars,Guerre des Cacos of 1868-1869,Civil war - for central control: Haiti vs. Cacos,Haiti,,,,,,,,,
G65,Intra-state (civil) wars,Venezuelan Yellow Revolution of 1869-1872,Civil war - for central control: Venezuela vs. Liberals,Venezuela,,,,,,,,,
G65,Intra-state (civil) wars,Fourth Venezuelan War of 1899,Civil war - for central control: Venezuela vs. Castro-led Rebels,Venezuela,,,,,,,,,
G65,Intra-state (civil) wars,KMT-CCP Clashes of 1939-1941,Civil war - for central control: China vs. CCP,China,,,,,,,,,
G65,Intra-state (civil) wars,Colombia's Barracks Rebellion of 1854,Civil war - for central control: Colombia vs. Constitutionalists,Colombia,,,,,,,,,
G65,Intra-state (civil) wars,Paris Commune War of 1871,Civil war - for central control: France vs. Paris Commune,France,,,,,,,,,
G65,Intra-state (civil) wars,Mujahideen Uprising of 1978-1980,"Civil war - for central control: Russia, Afghanistan vs. Mujahideen",Russia,Afghanistan,,,,,,,,
G65,Intra-state (civil) wars,Puebla War of 1855-1856,Civil war - for central control: Mexico vs. Conservative Military,Mexico,,,,,,,,,
G65,Intra-state (civil) wars,Mexican Reform of 1858-1861,Civil war - for central control: Mexico vs. Liberals,Mexico,,,,,,,,,
G65,Intra-state (civil) wars,First Uruguay War of 1904,Civil war - for central control: Uruguay vs. Blancos,Uruguay,,,,,,,,,
G65,Intra-state (civil) wars,Mitre Rebellion of 1874,Civil war - for central control: Argentina vs. Mitre-led Rebels,Argentina,,,,,,,,,
G65,Intra-state (civil) wars,Constituent Revolution  of 1859,Civil war - for central control: Chile vs. Constituents,Chile,,,,,,,,,
G65,Intra-state (civil) wars,Diaz Revolt of 1876,Civil war - for central control: Mexico vs. Tuxtepecanos,Mexico,,,,,,,,,
G65,Intra-state (civil) wars,Honduran Conservative War of 1924,Civil war - for central control: Honduras vs. Conservatives,Honduras,,,,,,,,,
G65,Intra-state (civil) wars,Mozambique War of 1981-1992,"Civil war - for central control: Cuba, Tanzania, Mozambique, Zimbabwe, Malawi vs. RENAMO",Cuba,Tanzania,Mozambique,Zimbabwe,Malawi,,,,,
G65,Intra-state (civil) wars,Sanaa Revolt of 1948,Civil war - for central control: Yemen vs. Pro-Ahmad Forces,Yemen,,,,,,,,,
G65,Intra-state (civil) wars,Young Turks Counter-Coup of 1909,Civil war - for central control: Ottoman Empire vs. Constitutionalists,Ottoman Empire,,,,,,,,,
G65,Intra-state (civil) wars,Contra War of 1982-1988,Civil war - for central control: Nicaragua vs. Contras,Nicaragua,,,,,,,,,
G65,Intra-state (civil) wars,Revindication War of 1879,Civil war - for central control: Venezuela vs. Revindacadores,Venezuela,,,,,,,,,
G65,Intra-state (civil) wars,Telengana Rebellion of 1948-1950,Civil war - for central control: India vs. Hyderabad Communists,India,,,,,,,,,
G65,Intra-state (civil) wars,Cristeros Revolt of 1926-1929,Civil war - for central control: Mexico vs. Cristeros,Mexico,,,,,,,,,
G65,Intra-state (civil) wars,Second South Sudan War of 1983-2002,"Civil war - for central control: Libya, Sudan vs. Uganda, SPLA-Garang faction",Libya,Sudan,Uganda,,,,,,,
G65,Intra-state (civil) wars,Indonesia Darul Islam Rebellion of 1951-1962,Civil war - for central control: Indonesia vs. Darul Islam,Indonesia,Indonesia,,,,,,,,
G65,Intra-state (civil) wars,Thai Communist Insurgency of 1972-1973,Civil war - for central control: Thailand vs. People's Liberation Army,Thailand,,,,,,,,,
G65,Intra-state (civil) wars,La Violencia second wave of 1955-1962,Civil war - for central control: Colombia vs. Liberal Guerillas,Colombia,,,,,,,,,
G65,Intra-state (civil) wars,First Burundi War of 1972,Civil war - for central control: Burundi vs. Hutu,Burundi,,,,,,,,,
G65,Intra-state (civil) wars,Sardinian Revolt of 1821,"Civil war - for central control: Austria, Sardinia vs. Piedmont Liberals",Austria,Italy,,,,,,,,
G65,Intra-state (civil) wars,Zaili-Jinden Revolt of 1891,Civil war - for central control: China vs. Zailis and Jinden,China,,,,,,,,,
G65,Intra-state (civil) wars,Libyan Civil War of 2011,"Civil war - for central control: Libya vs. United States of America, United Kingdom, France, Canada, Italy, Spain, NLA",Libya,,,,,,,,,
G65,Intra-state (civil) wars,Permesta Rebellion of 1958-1961,Civil war - for central control: Indonesia vs. Permesta Rebels,Indonesia,,,,,,,,,
G65,Intra-state (civil) wars,First Lebanese War of 1958,"Civil war - for central control: United States of America, Lebanon vs. Syria, National Front",United States,Syria,Lebanon,,,,,,,
G65,Intra-state (civil) wars,First Somalia War of 1988-1991,Civil war - for central control: Somalia vs. SNM,Somalia,,,,,,,,,
G65,Intra-state (civil) wars,Third Peru War of 1894-1895,Civil war - for central control: Peru vs. National Coalition,Peru,,,,,,,,,
G65,Intra-state (civil) wars,Mosul Revolt of 1959,Civil war - for central control: Iraq vs. Pro-Western Factions,Iraq,,,,,,,,,
G65,Intra-state (civil) wars,Vietnam War phase 1 of 1960-1965,"Civil war - for central control: United States of America, Republic of Vietnam vs. NLF, Democratic Republic of Vietnam",United States,Vietnam,,,,,,,,
G65,Intra-state (civil) wars,First Laotian War of 1960-1968,"Civil war - for central control: United States of America, Laos vs. Democratic Republic of Vietnam, Pathet Lao",United States,Vietnam,Laos,,,,,,,
G65,Intra-state (civil) wars,Queretaro War of 1867,Civil war - for central control: Mexico vs. Liberals,Mexico,,,,,,,,,
G65,Intra-state (civil) wars,Second Sierra Leone War of 1998-2000,"Civil war - for central control: Sierra Leone vs. Ghana, Nigeria, Guinea, United Kingdom, Kabbah Faction",Sierra Leone,Ghana,Nigeria,Guinea,United Kingdom,,,,,
G65,Intra-state (civil) wars,Romanian War of 1989,Civil war - for central control: Romania vs. National Salvation Front,Romania,,,,,,,,,
G65,Intra-state (civil) wars,North Yemen War of 1962-1970,"Civil war - for central control: Egypt/United Arab Republic, Yemen Arab Republic vs. Royalists",Egypt,Yemen,,,,,,,,
G65,Intra-state (civil) wars,First Mexican War of 1832,Civil war - for central control: Mexico vs. Liberals,Mexico,,,,,,,,,
G65,Intra-state (civil) wars,Revolución de Queipa of 1898,Civil war - for central control: Venezuela vs. Hernandez-led Rebels,Venezuela,,,,,,,,,
G65,Intra-state (civil) wars,First Rwanda War of 1963-1964,Civil war - for central control: Rwanda vs. Tutsi Rebels,Rwanda,,,,,,,,,
G65,Intra-state (civil) wars,Second Congo-Brazzaville War of 1998-1999,"Civil war - for central control: Republic of the Congo, Angola vs. Ninjas and Cocoye militias",Republic of the Congo,Angola,,,,,,,,
G65,Intra-state (civil) wars,First Carlist War of 1834-1840,"Civil war - for central control: United Kingdom, France, Spain, Portugal vs. Carlists",United Kingdom,France,Spain,Portugal,,,,,,
G65,Intra-state (civil) wars,Colombian War of the Thousand Days of 1899-1902,"Civil war - for central control: Colombia vs. Venezuela, Ecuador, War Liberals",Colombia,Venezuela,Ecuador,,,,,,,
G65,Intra-state (civil) wars,Greek Civil War  round 2 of 1944-1945,Civil war - for central control: Greece vs. EAM-ELAS,Greece,,,,,,,,,
G65,Intra-state (civil) wars,Third Carlist War of 1872-1876,Civil war - for central control: Spain vs. Carlists,Spain,,,,,,,,,
G65,Intra-state (civil) wars,Kronstadt Rebellion of 1921,Civil war - for central control: Soviet Russian Republic vs. Sailors,Russia,,,,,,,,,
G65,Intra-state (civil) wars,Far Eastern Republic War of 1921-1923,Civil war - for central control: Soviet Russian Republic vs. Belopovstantsy,Russia,,,,,,,,,
G65,Intra-state (civil) wars,First Guatemala War of 1966-1968,"Civil war - for central control: United States, Guatemala vs. Leftists",United States,Guatemala,,,,,,,,
G65,Intra-state (civil) wars,Chinese Civil War phase 2 of 1945-1950,Civil war - for central control: China vs. CCP,China,,,,,,,,,
G65,Intra-state (civil) wars,Nepal Maoist Insurgency of 2001-2006,Civil war - for central control: Nepal vs. MPLA,Nepal,,,,,,,,,
G65,Intra-state (civil) wars,Liberia-LURD War of 2002-2003,Civil war - for central control: Liberia vs. LURD & MODEL,Liberia,,,,,,,,,
G65,Intra-state (civil) wars,Fourth Colombian War of 1876-1877,Civil war - for central control: Colombia vs. Conservatives,Colombia,,,,,,,,,
G65,Intra-state (civil) wars,Iranian Constitution War of 1908-1909,"Civil war - for central control: Russia, Iran vs. Constitutionalists",Russia,Iran,,,,,,,,
G65,Intra-state (civil) wars,Costa Rica War of 1948,Civil war - for central control: Costa Rica vs. Army of National Liberation,Costa Rica,,,,,,,,,
G65,Intra-state (civil) wars,First Burmese War of 1948-1950,Civil war - for central control: Burma vs. Karens and Communists,Burma,,,,,,,,,
G65,Intra-state (civil) wars,Black September War of 1970,"Civil war - for central control: Jordan vs. Syria, Palestinians",Jordan,Syria,Palestine,,,,,,,
G65,Intra-state (civil) wars,Second Guatemala War of 1970-1971,Civil war - for central control: Guatemala vs. Leftists,Guatemala,,,,,,,,,
G65,Intra-state (civil) wars,First Argentina War phase 2 of 1841-1842,Civil war - for central control: Argentina vs. Unitarios,Argentina,,,,,,,,,
G65,Intra-state (civil) wars,Haitian Civil War of 1883-1884,Civil war - for central control: Haiti vs. Liberals,Haiti,,,,,,,,,
G65,Intra-state (civil) wars,Paraguayan Radical Liberal Rebellion of 1911-1912,Civil war - for central control: Paraguay vs. Radical Liberals,Paraguay,,,,,,,,,
G65,Intra-state (civil) wars,Bolivian National Revolution of 1952,Civil war - for central control: Bolivia vs. MNR,Bolivia,,,,,,,,,
G65,Intra-state (civil) wars,Second Al-Houthi Rebellion of 2007-2008,Civil war - for central control: Yemen vs. Houthi Rebels,Yemen,,,,,,,,,
G65,Intra-state (civil) wars,Argentine Military War of 1955,Civil war - for central control: Argentina vs. Military Rebels,Argentina,,,,,,,,,
G65,Intra-state (civil) wars,Iraqi Sunni Revolt of 2010-2014,"Civil war - for central control: United States of America, Iraq vs. Sunni Rebels",United States,Iraq,,,,,,,,
G65,Intra-state (civil) wars,Ecuadorian Civil War of 1913-1916,Civil war - for central control: Ecuador vs. Conchistas,Ecuador,,,,,,,,,
G65,Intra-state (civil) wars,Holy Spirit Movement War of 1986-1987,Civil war - for central control: Uganda vs. HSMF,Uganda,,,,,,,,,
G65,Intra-state (civil) wars,Second Carlist War of 1847-1849,Civil war - for central control: Spain vs. Carlists,Spain,,,,,,,,,
G65,Intra-state (civil) wars,Fourth Mexican War of 1914-1920,"Civil war - for central control: United States, Mexico vs. Conventionists",United States,Mexico,,,,,,,,
G65,Intra-state (civil) wars,Anti-Monarchy War of 1915-1916,Civil war - for central control: China vs. NPA,China,,,,,,,,,
G65,Intra-state (civil) wars,Second French Insurrection of 1848,Civil war - for central control: France vs. Republicans,France,,,,,,,,,
G65,Intra-state (civil) wars,Negus Mikael Revolt of 1916-1917,Civil war - for central control: Ethiopia vs. Negus Mikael-led Rebels,Ethiopia,,,,,,,,,
G65,Intra-state (civil) wars,Central African Republic War of 2012-2013,"Civil war - for central control: Central African Republic, Chad vs. Seleka",Central African Republic,Chad,,,,,,,,
G65,Intra-state (civil) wars,Angolan Control War of 1976-1991,"Civil war - for central control: Cuba, Angola vs. South Africa, UNITA",Cuba,Angola,South Africa,,,,,,,
G65,Intra-state (civil) wars,Rhodesia War of 1976-1979,Civil war - for central control: Rhodesia vs. Patriotic Front,Rhodesia,Zimbabwe,,,,,,,,
G65,Intra-state (civil) wars,Finnish Civil War of 1918,"Civil war - for central control: Germany, Finland vs. USSR, Red Guard",Germany,,,,,,,,,
G65,Intra-state (civil) wars,Afghan-Taliban War of 2014-ongoing,"Civil war - for central control: United States, Afghanistan vs. Taliban",United States,Afghanistan,,,,,,,,
