Category ID,Category,Event,Event description,Country,
G65,List of volcanic eruptions,"Macauley, -4360",Macauley - Kermadec Is - New Zealand - -4360,New Zealand,
G65,List of volcanic eruptions,"Kikai, -4350",Kikai - Ryukyu Is - Japan - -4350,Japan,
G65,List of volcanic eruptions,"Masaya, -4050",Masaya - Nicaragua - Nicaragua - -4050,Nicaragua,
G65,List of volcanic eruptions,"Witori, -4000",Witori - New Britain-SW Pac - Papua New Guinea - -4000,Papua New Guinea,
G65,List of volcanic eruptions,"Taal, -3580",Taal - Luzon-Philippines - Philippines - -3580,Philippines,
G65,List of volcanic eruptions,"Pinatubo, -3550",Pinatubo - Luzon-Philippines - Philippines - -3550,Philippines,
G65,List of volcanic eruptions,"Vesuvius, -2420",Vesuvius - Italy - Italy - -2420,Italy,
G65,List of volcanic eruptions,"Long Island, -2040",Long Island - New Guinea-NE of - Papua New Guinea - -2040,Papua New Guinea,
G65,List of volcanic eruptions,"Black Peak, -1900",Black Peak - Alaska Peninsula - United States - -1900,United States,
G65,List of volcanic eruptions,"Hudson, Cerro, -1890","Hudson, Cerro - Chile-S - Chile - -1890",Chile,
G65,List of volcanic eruptions,"St. Helens, -1860",St. Helens - US-Washington - United States - -1860,United States,
G65,List of volcanic eruptions,"Veniaminof, -1750",Veniaminof - Alaska Peninsula - United States - -1750,United States,
G65,List of volcanic eruptions,"Aniakchak, -1645",Aniakchak - Alaska Peninsula - United States - -1645,United States,
G65,List of volcanic eruptions,"Santorini, -1610",Santorini - Greece - Greece - -1610,Greece,
G65,List of volcanic eruptions,"Redoubt, -1550",Redoubt - Alaska-SW - United States - -1550,United States,
G65,List of volcanic eruptions,"Taupo, -1460",Taupo - New Zealand - New Zealand - -1460,New Zealand,
G65,List of volcanic eruptions,"Witori, -1370",Witori - New Britain-SW Pac - Papua New Guinea - -1370,Papua New Guinea,
G65,List of volcanic eruptions,"Pinatubo, -1050",Pinatubo - Luzon-Philippines - Philippines - -1050,Philippines,
G65,List of volcanic eruptions,"Tungurahua, -1010",Tungurahua - Ecuador - Ecuador - -1010,Ecuador,
G65,List of volcanic eruptions,"Cotopaxi, -455",Cotopaxi - Ecuador - Ecuador - -455,Ecuador,
G65,List of volcanic eruptions,"Raoul Island, -250",Raoul Island - Kermadec Is - New Zealand - -250,New Zealand,
G65,List of volcanic eruptions,"Santorini, -197",Santorini - Greece - Greece - -197,Greece,
G65,List of volcanic eruptions,"St. Andrew Strait, -150",St. Andrew Strait - Admiralty Is-SW Paci - Papua New Guinea - -150,Papua New Guinea,
G65,List of volcanic eruptions,"Etna, -141",Etna - Italy - Italy - -141,Italy,
G65,List of volcanic eruptions,"Okmok, -100",Okmok - Aleutian Is - United States - -100,United States,
G65,List of volcanic eruptions,"Apoyeque, -50",Apoyeque - Nicaragua - Nicaragua - -50,Nicaragua,
G65,List of volcanic eruptions,"Santorini, 46",Santorini - Greece - Greece - 46,Greece,
G65,List of volcanic eruptions,"Ambrym, 50",Ambrym - Vanuatu-SW Pacific - Vanuatu - 50,Vanuatu,
G65,List of volcanic eruptions,"Churchill, 60",Churchill - Alaska-E - United States - 60,United States,
G65,List of volcanic eruptions,"Vesuvius, 79",Vesuvius - Italy - Italy - 79,Italy,
G65,List of volcanic eruptions,"Arhab, Harra of, 200","Arhab, Harra of - Arabia-S - Yemen - 200",Yemen,
G65,List of volcanic eruptions,"Taupo, 233",Taupo - New Zealand - New Zealand - 233,New Zealand,
G65,List of volcanic eruptions,"Ksudach, 240",Ksudach - Kamchatka - Russia - 240,Russia,
G65,List of volcanic eruptions,"Augustine, 350",Augustine - Alaska-SW - United States - 350,United States,
G65,List of volcanic eruptions,"Krakatau, 416",Krakatau - Indonesia - Indonesia - 416,Indonesia,
G65,List of volcanic eruptions,"Ilopango, 450",Ilopango - El Salvador - El Salvador - 450,El Salvador,
G65,List of volcanic eruptions,"Arhab, Harra of, 500","Arhab, Harra of - Arabia-S - Yemen - 500",Yemen,
G65,List of volcanic eruptions,"San Salvador, 590",San Salvador - El Salvador - El Salvador - 590,El Salvador,
G65,List of volcanic eruptions,"Uwayrid, Harrat, 640","Uwayrid, Harrat - Arabia-W - Saudi Arabia - 640",Saudi Arabia,
G65,List of volcanic eruptions,"Dakataua, 653",Dakataua - New Britain-SW Pac - Papua New Guinea - 653,Papua New Guinea,
G65,List of volcanic eruptions,"Rabaul, 683",Rabaul - New Britain-SW Pac - Papua New Guinea - 683,Papua New Guinea,
G65,List of volcanic eruptions,"Witori, 710",Witori - New Britain-SW Pac - Papua New Guinea - 710,Papua New Guinea,
G65,List of volcanic eruptions,"Aira, 764",Aira - Kyushu-Japan - Japan - 764,Japan,
G65,List of volcanic eruptions,"Aira, 766",Aira - Kyushu-Japan - Japan - 766,Japan,
G65,List of volcanic eruptions,"Vesuvius, 787",Vesuvius - Italy - Italy - 787,Italy,
G65,List of volcanic eruptions,"Churchill, 847",Churchill - Alaska-E - United States - 847,United States,
G65,List of volcanic eruptions,"Katla, 920",Katla - Iceland-S - Iceland - 920,Iceland,
G65,List of volcanic eruptions,"Ceboruco, 930",Ceboruco - Mexico - Mexico - 930,Mexico,
G65,List of volcanic eruptions,"Katla, 934",Katla - Iceland-S - Iceland - 934,Iceland,
G65,List of volcanic eruptions,"Changbaishan, 946",Changbaishan - China-E - North Korea - 946,North Korea,
G65,List of volcanic eruptions,"Katla, 950",Katla - Iceland-S - Iceland - 950,Iceland,
G65,List of volcanic eruptions,"Santorini, 1050",Santorini - Greece - Greece - 1050,Greece,
G65,List of volcanic eruptions,"Hekla, 1104",Hekla - Iceland-S - Iceland - 1104,Iceland,
G65,List of volcanic eruptions,"Krysuvik-Trolladyngja, 1151",Krysuvik-Trolladyngja - Iceland-SW - Iceland - 1151,Iceland,
G65,List of volcanic eruptions,"Hekla, 1158",Hekla - Iceland-S - Iceland - 1158,Iceland,
G65,List of volcanic eruptions,"Etna, 1169",Etna - Italy - Italy - 1169,Italy,
G65,List of volcanic eruptions,"Etna, 1169",Etna - Italy - Italy - 1169,Italy,
G65,List of volcanic eruptions,"Katla, 1177",Katla - Iceland-S - Iceland - 1177,Iceland,
G65,List of volcanic eruptions,"Hekla, 1206",Hekla - Iceland-S - Iceland - 1206,Iceland,
G65,List of volcanic eruptions,"Fentale, 1250",Fentale - Africa-NE - Ethiopia - 1250,Ethiopia,
G65,List of volcanic eruptions,"Katla, 1262",Katla - Iceland-S - Iceland - 1262,Iceland,
G65,List of volcanic eruptions,"Quilotoa, 1280",Quilotoa - Ecuador - Ecuador - 1280,Ecuador,
G65,List of volcanic eruptions,"Hekla, 1300",Hekla - Iceland-S - Iceland - 1300,Iceland,
G65,List of volcanic eruptions,"Ischia, 1302",Ischia - Italy - Italy - 1302,Italy,
G65,List of volcanic eruptions,"Katla, 1311",Katla - Iceland-S - Iceland - 1311,Iceland,
G65,List of volcanic eruptions,"Kelud, 1311",Kelud - Java - Indonesia - 1311,Indonesia,
G65,List of volcanic eruptions,"Etna, 1329",Etna - Italy - Italy - 1329,Italy,
G65,List of volcanic eruptions,"Etna, 1329",Etna - Italy - Italy - 1329,Italy,
G65,List of volcanic eruptions,"Asosan, 1331",Asosan - Kyushu-Japan - Japan - 1331,Japan,
G65,List of volcanic eruptions,"Kelud, 1334",Kelud - Java - Indonesia - 1334,Indonesia,
G65,List of volcanic eruptions,"Hekla, 1341",Hekla - Iceland-S - Iceland - 1341,Iceland,
G65,List of volcanic eruptions,"Katla, 1357",Katla - Iceland-S - Iceland - 1357,Iceland,
G65,List of volcanic eruptions,"Oraefajokull, 1362",Oraefajokull - Iceland-SE - Iceland - 1362,Iceland,
G65,List of volcanic eruptions,"Chichon, El, 1375","Chichon, El - Mexico - Mexico - 1375",Mexico,
G65,List of volcanic eruptions,"Kelud, 1376",Kelud - Java - Indonesia - 1376,Indonesia,
G65,List of volcanic eruptions,"Kelud, 1385",Kelud - Java - Indonesia - 1385,Indonesia,
G65,List of volcanic eruptions,"Hekla, 1389",Hekla - Iceland-S - Iceland - 1389,Iceland,
G65,List of volcanic eruptions,"Nasudake, 1410",Nasudake - Honshu-Japan - Japan - 1410,Japan,
G65,List of volcanic eruptions,"Kuwae, 1430",Kuwae - Vanuatu-SW Pacific - Vanuatu - 1430,Vanuatu,
G65,List of volcanic eruptions,"Aira, 1471",Aira - Kyushu-Japan - Japan - 1471,Japan,
G65,List of volcanic eruptions,"Bardarbunga, 1477",Bardarbunga - Iceland-NE - Iceland - 1477,Iceland,
G65,List of volcanic eruptions,"Asosan, 1485",Asosan - Kyushu-Japan - Japan - 1485,Japan,
G65,List of volcanic eruptions,"Katla, 1500",Katla - Iceland-S - Iceland - 1500,Iceland,
G65,List of volcanic eruptions,"Hekla, 1510",Hekla - Iceland-S - Iceland - 1510,Iceland,
G65,List of volcanic eruptions,"Hekla, 1510",Hekla - Iceland-S - Iceland - 1510,Iceland,
G65,List of volcanic eruptions,"Etna, 1536",Etna - Italy - Italy - 1536,Italy,
G65,List of volcanic eruptions,"Campi Flegrei, 1538",Campi Flegrei - Italy - Italy - 1538,Italy,
G65,List of volcanic eruptions,"Augustine, 1540",Augustine - Alaska-SW - United States - 1540,United States,
G65,List of volcanic eruptions,"Dukono, 1550",Dukono - Halmahera-Indonesia - Indonesia - 1550,Indonesia,
G65,List of volcanic eruptions,"Kie Besi, 1550",Kie Besi - Halmahera-Indonesia - Indonesia - 1550,Indonesia,
G65,List of volcanic eruptions,"Gamkonora, 1564",Gamkonora - Halmahera-Indonesia - Indonesia - 1564,Indonesia,
G65,List of volcanic eruptions,"Pacaya, 1565",Pacaya - Guatemala - Guatemala - 1565,Guatemala,
G65,List of volcanic eruptions,"Kirishimayama, 1566",Kirishimayama - Kyushu-Japan - Japan - 1566,Japan,
G65,List of volcanic eruptions,"Savo, 1568",Savo - Solomon Is-SW Pacifi - Solomon Is. - 1568,Solomon Islands,
G65,List of volcanic eruptions,"Mombacho, 1570",Mombacho - Nicaragua - Nicaragua - 1570,Nicaragua,
G65,List of volcanic eruptions,"Taal, 1572",Taal - Luzon-Philippines - Philippines - 1572,Philippines,
G65,List of volcanic eruptions,"Colima, 1576",Colima - Mexico - Mexico - 1576,Mexico,
G65,List of volcanic eruptions,"Sao Jorge, 1580",Sao Jorge - Azores - Portugal - 1580,Portugal,
G65,List of volcanic eruptions,"Katla, 1580",Katla - Iceland-S - Iceland - 1580,Iceland,
G65,List of volcanic eruptions,"Billy Mitchell, 1580",Billy Mitchell - Bougainville-SW Paci - Papua New Guinea - 1580,Papua New Guinea,
G65,List of volcanic eruptions,"Fuego, 1581",Fuego - Guatemala - Guatemala - 1581,Guatemala,
G65,List of volcanic eruptions,"Kelud, 1586",Kelud - Java - Indonesia - 1586,Indonesia,
G65,List of volcanic eruptions,"Merapi, 1587",Merapi - Java - Indonesia - 1587,Indonesia,
G65,List of volcanic eruptions,"Colima, 1590",Colima - Mexico - Mexico - 1590,Mexico,
G65,List of volcanic eruptions,"Raung, 1593",Raung - Java - Indonesia - 1593,Indonesia,
G65,List of volcanic eruptions,"Ruiz, Nevado del, 1595","Ruiz, Nevado del - Colombia - Colombia - 1595",Colombia,
G65,List of volcanic eruptions,"Asamayama, 1596",Asamayama - Honshu-Japan - Japan - 1596,Japan,
G65,List of volcanic eruptions,"Hekla, 1597",Hekla - Iceland-S - Iceland - 1597,Iceland,
G65,List of volcanic eruptions,"Raung, 1597",Raung - Java - Indonesia - 1597,Indonesia,
G65,List of volcanic eruptions,"Asamayama, 1598",Asamayama - Honshu-Japan - Japan - 1598,Japan,
G65,List of volcanic eruptions,"Banda Api, 1598",Banda Api - Banda Sea - Pacific Ocean - 1598,,
G65,List of volcanic eruptions,"Huaynaputina, 1600",Huaynaputina - Peru - Peru - 1600,Peru,
G65,List of volcanic eruptions,"Hachijojima, 1606",Hachijojima - Izu Is-Japan - Japan - 1606,Japan,
G65,List of volcanic eruptions,"Gamalama, 1608",Gamalama - Halmahera-Indonesia - Indonesia - 1608,Indonesia,
G65,List of volcanic eruptions,"Tengchong, 1609",Tengchong - China-S - China - 1609,China,
G65,List of volcanic eruptions,"Banda Api, 1615",Banda Api - Banda Sea - Pacific Ocean - 1615,,
G65,List of volcanic eruptions,"Fuego, 1617",Fuego - Guatemala - Guatemala - 1617,Guatemala,
G65,List of volcanic eruptions,"Katla, 1625",Katla - Iceland-S - Iceland - 1625,Iceland,
G65,List of volcanic eruptions,"Grimsvotn, 1629",Grimsvotn - Iceland-NE - Iceland - 1629,Iceland,
G65,List of volcanic eruptions,"Furnas, 1630",Furnas - Azores - Portugal - 1630,Portugal,
G65,List of volcanic eruptions,"Dama Ali, 1631",Dama Ali - Africa-NE - Ethiopia - 1631,Ethiopia,
G65,List of volcanic eruptions,"Vesuvius, 1631",Vesuvius - Italy - Italy - 1631,Italy,
G65,List of volcanic eruptions,"Hekla, 1636",Hekla - Iceland-S - Iceland - 1636,Iceland,
G65,List of volcanic eruptions,"Raung, 1638",Raung - Java - Indonesia - 1638,Indonesia,
G65,List of volcanic eruptions,"Hokkaido-Komagatake, 1640",Hokkaido-Komagatake - Hokkaido-Japan - Japan - 1640,Japan,
G65,List of volcanic eruptions,"Tungurahua, 1640",Tungurahua - Ecuador - Ecuador - 1640,Ecuador,
G65,List of volcanic eruptions,"Kie Besi, 1646",Kie Besi - Halmahera-Indonesia - Indonesia - 1646,Indonesia,
G65,List of volcanic eruptions,"Santorini, 1650",Santorini - Greece - Greece - 1650,Greece,
G65,List of volcanic eruptions,"San Salvador, 1659",San Salvador - El Salvador - El Salvador - 1659,El Salvador,
G65,List of volcanic eruptions,"Teon, 1659",Teon - Banda Sea - Pacific Ocean - 1659,,
G65,List of volcanic eruptions,"Teon, 1660",Teon - Banda Sea - Pacific Ocean - 1660,,
G65,List of volcanic eruptions,"Guagua Pichincha, 1660",Guagua Pichincha - Ecuador - Ecuador - 1660,Ecuador,
G65,List of volcanic eruptions,"Katla, 1660",Katla - Iceland-S - Iceland - 1660,Iceland,
G65,List of volcanic eruptions,"Long Island, 1660",Long Island - New Guinea-NE of - Papua New Guinea - 1660,Papua New Guinea,
G65,List of volcanic eruptions,"Toya, 1663",Toya - Hokkaido-Japan - Japan - 1663,Japan,
G65,List of volcanic eruptions,"Unzendake, 1664",Unzendake - Kyushu-Japan - Japan - 1664,Japan,
G65,List of volcanic eruptions,"Io-Torishima, 1664",Io-Torishima - Ryukyu Is - Japan - 1664,Japan,
G65,List of volcanic eruptions,"Etna, 1669",Etna - Italy - Italy - 1669,Italy,
G65,List of volcanic eruptions,"Etna, 1669",Etna - Italy - Italy - 1669,Italy,
G65,List of volcanic eruptions,"Ambae, 1670",Ambae - Vanuatu-SW Pacific - Vanuatu - 1670,Vanuatu,
G65,List of volcanic eruptions,"Fayal, 1672",Fayal - Azores - Portugal - 1672,Portugal,
G65,List of volcanic eruptions,"Merapi, 1672",Merapi - Java - Indonesia - 1672,Indonesia,
G65,List of volcanic eruptions,"Gamkonora, 1673",Gamkonora - Halmahera-Indonesia - Indonesia - 1673,Indonesia,
G65,List of volcanic eruptions,"La Palma, 1677",La Palma - Canary Is - Spain - 1677,Spain,
G65,List of volcanic eruptions,"Zukur, 1679",Zukur - Red Sea - Yemen - 1679,Yemen,
G65,List of volcanic eruptions,"Vesuvius, 1682",Vesuvius - Italy - Italy - 1682,Italy,
G65,List of volcanic eruptions,"Grimsvotn, 1684",Grimsvotn - Iceland-NE - Iceland - 1684,Iceland,
G65,List of volcanic eruptions,"Vesuvius, 1690",Vesuvius - Italy - Italy - 1690,Italy,
G65,List of volcanic eruptions,"Guntur, 1690",Guntur - Java - Indonesia - 1690,Indonesia,
G65,List of volcanic eruptions,"Serua, 1692",Serua - Banda Sea - Pacific Ocean - 1692,,
G65,List of volcanic eruptions,"Etna, 1693",Etna - Italy - Italy - 1693,Italy,
G65,List of volcanic eruptions,"Hekla, 1693",Hekla - Iceland-S - Iceland - 1693,Iceland,
G65,List of volcanic eruptions,"Banda Api, 1694",Banda Api - Banda Sea - Pacific Ocean - 1694,,
G65,List of volcanic eruptions,"Vesuvius, 1698",Vesuvius - Italy - Italy - 1698,Italy,
G65,List of volcanic eruptions,"Ciremai, 1698",Ciremai - Java - Indonesia - 1698,Indonesia,
G65,List of volcanic eruptions,"Cotopaxi, 1698",Cotopaxi - Ecuador - Ecuador - 1698,Ecuador,
G65,List of volcanic eruptions,"Tenerife, 1706",Tenerife - Canary Is - Spain - 1706,Spain,
G65,List of volcanic eruptions,"Santorini, 1707",Santorini - Greece - Greece - 1707,Greece,
G65,List of volcanic eruptions,"Fujisan, 1707",Fujisan - Honshu-Japan - Japan - 1707,Japan,
G65,List of volcanic eruptions,"Awu, 1711",Awu - Sangihe Is-Indonesia - Indonesia - 1711,Indonesia,
G65,List of volcanic eruptions,"Bardarbunga, 1712",Bardarbunga - Iceland-NE - Iceland - 1712,Iceland,
G65,List of volcanic eruptions,"Vesuvius, 1714",Vesuvius - Italy - Italy - 1714,Italy,
G65,List of volcanic eruptions,"Kelud, 1716",Kelud - Java - Indonesia - 1716,Indonesia,
G65,List of volcanic eruptions,"Taal, 1716",Taal - Luzon-Philippines - Philippines - 1716,Philippines,
G65,List of volcanic eruptions,"Bardarbunga, 1716",Bardarbunga - Iceland-NE - Iceland - 1716,Iceland,
G65,List of volcanic eruptions,"Kirishimayama, 1716",Kirishimayama - Kyushu-Japan - Japan - 1716,Japan,
G65,List of volcanic eruptions,"Kirishimayama, 1717",Kirishimayama - Kyushu-Japan - Japan - 1717,Japan,
G65,List of volcanic eruptions,"Bardarbunga, 1717",Bardarbunga - Iceland-NE - Iceland - 1717,Iceland,
G65,List of volcanic eruptions,"Fuego, 1717",Fuego - Guatemala - Guatemala - 1717,Guatemala,
G65,List of volcanic eruptions,"Pico, 1718",Pico - Azores - Portugal - 1718,Portugal,
G65,List of volcanic eruptions,"Katla, 1721",Katla - Iceland-S - Iceland - 1721,Iceland,
G65,List of volcanic eruptions,"Asamayama, 1721",Asamayama - Honshu-Japan - Japan - 1721,Japan,
G65,List of volcanic eruptions,"Bardarbunga, 1726",Bardarbunga - Iceland-NE - Iceland - 1726,Iceland,
G65,List of volcanic eruptions,"Oraefajokull, 1727",Oraefajokull - Iceland-SE - Iceland - 1727,Iceland,
G65,List of volcanic eruptions,"Bardarbunga, 1729",Bardarbunga - Iceland-NE - Iceland - 1729,Iceland,
G65,List of volcanic eruptions,"Krafla, 1729",Krafla - Iceland-NE - Iceland - 1729,Iceland,
G65,List of volcanic eruptions,"Lanzarote, 1730",Lanzarote - Canary Is - Spain - 1730,Spain,
G65,List of volcanic eruptions,"Tseax River Cone, 1730",Tseax River Cone - Canada - Canada - 1730,Canada,
G65,List of volcanic eruptions,"Raung, 1730",Raung - Java - Indonesia - 1730,Indonesia,
G65,List of volcanic eruptions,"Vesuvius, 1737",Vesuvius - Italy - Italy - 1737,Italy,
G65,List of volcanic eruptions,"Oshima-Oshima, 1741",Oshima-Oshima - Hokkaido-Japan - Japan - 1741,Japan,
G65,List of volcanic eruptions,"Cotopaxi, 1742",Cotopaxi - Ecuador - Ecuador - 1742,Ecuador,
G65,List of volcanic eruptions,"Cotopaxi, 1742",Cotopaxi - Ecuador - Ecuador - 1742,Ecuador,
G65,List of volcanic eruptions,"Taal, 1749",Taal - Luzon-Philippines - Philippines - 1749,Philippines,
G65,List of volcanic eruptions,"Grimsvotn, 1753",Grimsvotn - Iceland-NE - Iceland - 1753,Iceland,
G65,List of volcanic eruptions,"Taal, 1754",Taal - Luzon-Philippines - Philippines - 1754,Philippines,
G65,List of volcanic eruptions,"Katla, 1755",Katla - Iceland-S - Iceland - 1755,Iceland,
G65,List of volcanic eruptions,"Sao Jorge, 1757",Sao Jorge - Azores - Portugal - 1757,Portugal,
G65,List of volcanic eruptions,"Kie Besi, 1760",Kie Besi - Halmahera-Indonesia - Indonesia - 1760,Indonesia,
G65,List of volcanic eruptions,"Klyuchevskoy, 1762",Klyuchevskoy - Kamchatka - Russia - 1762,Russia,
G65,List of volcanic eruptions,"Hekla, 1766",Hekla - Iceland-S - Iceland - 1766,Iceland,
G65,List of volcanic eruptions,"Mayon, 1766",Mayon - Luzon-Philippines - Philippines - 1766,Philippines,
G65,List of volcanic eruptions,"Cotopaxi, 1768",Cotopaxi - Ecuador - Ecuador - 1768,Ecuador,
G65,List of volcanic eruptions,"Dempo, 1770",Dempo - Sumatra - Indonesia - 1770,Indonesia,
G65,List of volcanic eruptions,"Gamalama, 1772",Gamalama - Halmahera-Indonesia - Indonesia - 1772,Indonesia,
G65,List of volcanic eruptions,"Papandayan, 1772",Papandayan - Java - Indonesia - 1772,Indonesia,
G65,List of volcanic eruptions,"Gamalama, 1773",Gamalama - Halmahera-Indonesia - Indonesia - 1773,Indonesia,
G65,List of volcanic eruptions,"Gamalama, 1775",Gamalama - Halmahera-Indonesia - Indonesia - 1775,Indonesia,
G65,List of volcanic eruptions,"Lokon-Empung, 1775",Lokon-Empung - Sulawesi-Indonesia - Indonesia - 1775,Indonesia,
G65,List of volcanic eruptions,"Raikoke, 1778",Raikoke - Kuril Is - Russia - 1778,Russia,
G65,List of volcanic eruptions,"Vesuvius, 1779",Vesuvius - Italy - Italy - 1779,Italy,
G65,List of volcanic eruptions,"Aira, 1779",Aira - Kyushu-Japan - Japan - 1779,Japan,
G65,List of volcanic eruptions,"Aira, 1780",Aira - Kyushu-Japan - Japan - 1780,Japan,
G65,List of volcanic eruptions,"Aogashima, 1780",Aogashima - Izu Is-Japan - Japan - 1780,Japan,
G65,List of volcanic eruptions,"Aira, 1780",Aira - Kyushu-Japan - Japan - 1780,Japan,
G65,List of volcanic eruptions,"Aira, 1780",Aira - Kyushu-Japan - Japan - 1780,Japan,
G65,List of volcanic eruptions,"Aira, 1781",Aira - Kyushu-Japan - Japan - 1781,Japan,
G65,List of volcanic eruptions,"Aogashima, 1783",Aogashima - Izu Is-Japan - Japan - 1783,Japan,
G65,List of volcanic eruptions,"Asamayama, 1783",Asamayama - Honshu-Japan - Japan - 1783,Japan,
G65,List of volcanic eruptions,"Grimsvotn, 1784",Grimsvotn - Iceland-NE - Iceland - 1784,Iceland,
G65,List of volcanic eruptions,"Coropuna, 1784",Coropuna - Peru - Peru - 1784,Peru,
G65,List of volcanic eruptions,"Hualalai, 1784",Hualalai - Hawaiian Is - United States - 1784,United States,
G65,List of volcanic eruptions,"Aogashima, 1785",Aogashima - Izu Is-Japan - Japan - 1785,Japan,
G65,List of volcanic eruptions,"Dieng Volcanic Complex, 1786",Dieng Volcanic Complex - Java - Indonesia - 1786,Indonesia,
G65,List of volcanic eruptions,"Izu-Oshima, 1789",Izu-Oshima - Izu Is-Japan - Japan - 1789,Japan,
G65,List of volcanic eruptions,"Kilauea, 1790",Kilauea - Hawaiian Is - United States - 1790,United States,
G65,List of volcanic eruptions,"Unzendake, 1792",Unzendake - Kyushu-Japan - Japan - 1792,Japan,
G65,List of volcanic eruptions,"Vesuvius, 1794",Vesuvius - Italy - Italy - 1794,Italy,
G65,List of volcanic eruptions,"Aira, 1797",Aira - Kyushu-Japan - Japan - 1797,Japan,
G65,List of volcanic eruptions,"Guntur, 1800",Guntur - Java - Indonesia - 1800,Indonesia,
G65,List of volcanic eruptions,"Mayon, 1800",Mayon - Luzon-Philippines - Philippines - 1800,Philippines,
G65,List of volcanic eruptions,"St. Helens, 1800",St. Helens - US-Washington - United States - 1800,United States,
G65,List of volcanic eruptions,"Hualalai, 1800",Hualalai - Hawaiian Is - United States - 1800,United States,
