Category ID,Category,Event,Event description,country,ccode,type
G3,Inter-state wars,Second Balkan,"Inter-state war: Turkey, Yugoslavia, Greece, Bulgaria, Romania",Serbia,SRB,Both
G3,Inter-state wars,Second Central American,"Inter-state war: El Salvador, Guatemala",El Salvador,SLV,Both
G3,Inter-state wars,Second Central American,"Inter-state war: El Salvador, Guatemala",Guatemala,GTM,Both
G3,Inter-state wars,Second Greco-Turkish,"Inter-state war: Turkey, Greece",Greece,GRC,Polity
G3,Inter-state wars,Second Greco-Turkish,"Inter-state war: Turkey, Greece",Türkiye,TUR,Both
G3,Inter-state wars,Second Kashmir,"Inter-state war: India, Pakistan",India,IND,Both
G3,Inter-state wars,Second Kashmir,"Inter-state war: India, Pakistan",Pakistan,PAK,Both
G3,Inter-state wars,"Second Laotian, Phase 2","Inter-state war: United States of America, Thailand, Laos, Vietnam",Lao People's Democratic Republic (the),LAO,Both
G3,Inter-state wars,"Second Laotian, Phase 2","Inter-state war: United States of America, Thailand, Laos, Vietnam",Thailand,THA,Polity
G3,Inter-state wars,"Second Laotian, Phase 2","Inter-state war: United States of America, Thailand, Laos, Vietnam",United States of America (the),USA,Polity
G3,Inter-state wars,"Second Laotian, Phase 2","Inter-state war: United States of America, Thailand, Laos, Vietnam",Viet Nam,VNM,Polity
G3,Inter-state wars,"Second Ogaden War, Phase 2","Inter-state war: Ethiopia, Cuba, Somalia",Cuba,CUB,Polity
G3,Inter-state wars,"Second Ogaden War, Phase 2","Inter-state war: Ethiopia, Cuba, Somalia",Ethiopia,ETH,Both
G3,Inter-state wars,"Second Ogaden War, Phase 2","Inter-state war: Ethiopia, Cuba, Somalia",Somalia,SOM,Both
G3,Inter-state wars,Second Russo-Turkish,"Inter-state war: Turkey, Russia",Armenia,ARM,Geography
G3,Inter-state wars,Second Russo-Turkish,"Inter-state war: Turkey, Russia",Bulgaria,BGR,Both
G3,Inter-state wars,Second Russo-Turkish,"Inter-state war: Turkey, Russia",Georgia,GEO,Geography
G3,Inter-state wars,Second Russo-Turkish,"Inter-state war: Turkey, Russia",Ottoman Empire,OTO,Both
G3,Inter-state wars,Second Russo-Turkish,"Inter-state war: Turkey, Russia",Romania,ROU,Both
G3,Inter-state wars,Second Russo-Turkish,"Inter-state war: Turkey, Russia",Russian Federation (the),RUS,Polity
G3,Inter-state wars,Second Schleswig-Holstein,"Inter-state war: Germany, Denmark, Austria",Denmark,DNK,Both
G3,Inter-state wars,Second Schleswig-Holstein,"Inter-state war: Germany, Denmark, Austria",Germany,DEU,Geography
G3,Inter-state wars,Second Sino-Japanese,"Inter-state war: Japan, China",China,CHN,Geography
G3,Inter-state wars,Second Sino-Japanese,"Inter-state war: Japan, China",Japan,JPN,Polity
G3,Inter-state wars,Second Spanish-Moroccan,"Inter-state war: Spain, Morocco",Morocco,MAR,Geography
G3,Inter-state wars,Second Spanish-Moroccan,"Inter-state war: Spain, Morocco",Spain,ESP,Polity
G3,Inter-state wars,Seven Weeks,"Inter-state war: Italy, Hesse Grand Ducal, Wuerttemburg, Bavaria, Austria, Germany, Mecklenburg Schwerin, Hesse Electoral, Saxony, Baden, Hanover",Czechia,CZE,Geography
G3,Inter-state wars,Seven Weeks,"Inter-state war: Italy, Hesse Grand Ducal, Wuerttemburg, Bavaria, Austria, Germany, Mecklenburg Schwerin, Hesse Electoral, Saxony, Baden, Hanover",Germany,DEU,Geography
G3,Inter-state wars,Seven Weeks,"Inter-state war: Italy, Hesse Grand Ducal, Wuerttemburg, Bavaria, Austria, Germany, Mecklenburg Schwerin, Hesse Electoral, Saxony, Baden, Hanover",Italy,ITA,Both
G3,Inter-state wars,Sinai War,"Inter-state war: France, Israel, Egypt, United Kingdom",Egypt,EGY,Both
G3,Inter-state wars,Sinai War,"Inter-state war: France, Israel, Egypt, United Kingdom",France,FRA,Polity
G3,Inter-state wars,Sinai War,"Inter-state war: France, Israel, Egypt, United Kingdom",Israel,ISR,Polity
G3,Inter-state wars,Sinai War,"Inter-state war: France, Israel, Egypt, United Kingdom",United Kingdom of Great Britain and Northern Ireland (the),GBR,Polity
G3,Inter-state wars,Sino-French,"Inter-state war: France, China",China,CHN,Polity
G3,Inter-state wars,Sino-French,"Inter-state war: France, China",France,FRA,Polity
G3,Inter-state wars,Sino-French,"Inter-state war: France, China",Taiwan,TWN,Geography
G3,Inter-state wars,Sino-French,"Inter-state war: France, China",Viet Nam,VNM,Geography
G3,Inter-state wars,Sino-Russian,"Inter-state war: Russia, China",China,CHN,Both
G3,Inter-state wars,Sino-Russian,"Inter-state war: Russia, China",Russian Federation (the),RUS,Both
G3,Inter-state wars,Sino-Vietnamese Border War,"Inter-state war: Vietnam, China",China,CHN,Polity
G3,Inter-state wars,Sino-Vietnamese Border War,"Inter-state war: Vietnam, China",Viet Nam,VNM,Both
G3,Inter-state wars,Sino-Vietnamese Punitive,"Inter-state war: China, Vietnam",China,CHN,Polity
G3,Inter-state wars,Sino-Vietnamese Punitive,"Inter-state war: China, Vietnam",Viet Nam,VNM,Both
G3,Inter-state wars,Six Day War,"Inter-state war: Israel, Egypt, Jordan, Syria",Egypt,EGY,Both
G3,Inter-state wars,Six Day War,"Inter-state war: Israel, Egypt, Jordan, Syria",Israel,ISR,Both
G3,Inter-state wars,Six Day War,"Inter-state war: Israel, Egypt, Jordan, Syria",Jordan,JOR,Polity
G3,Inter-state wars,Six Day War,"Inter-state war: Israel, Egypt, Jordan, Syria",Syrian Arab Republic (the),SYR,Polity
G3,Inter-state wars,Soviet Invasion of Hungary,"Inter-state war: Hungary, USSR",Hungary,HUN,Both
G3,Inter-state wars,Soviet Invasion of Hungary,"Inter-state war: Hungary, USSR",USSR,SUN,Polity
G3,Inter-state wars,Spanish-American,"Inter-state war: Spain, United States of America",Cuba,CUB,Geography
G3,Inter-state wars,Spanish-American,"Inter-state war: Spain, United States of America",Philippines (the),PHL,Geography
G3,Inter-state wars,Spanish-American,"Inter-state war: Spain, United States of America",Spain,ESP,Polity
G3,Inter-state wars,Spanish-American,"Inter-state war: Spain, United States of America",United States of America (the),USA,Both
G3,Inter-state wars,Taiwan Straits,"Inter-state war: China (PRC), Taiwan (ROC)",China,CHN,Polity
G3,Inter-state wars,Taiwan Straits,"Inter-state war: China (PRC), Taiwan (ROC)",Taiwan,TWN,Polity
G3,Inter-state wars,Third Central American,"Inter-state war: Honduras, El Salvador, Guatemala",El Salvador,SLV,Polity
G3,Inter-state wars,Third Central American,"Inter-state war: Honduras, El Salvador, Guatemala",Guatemala,GTM,Both
G3,Inter-state wars,Third Central American,"Inter-state war: Honduras, El Salvador, Guatemala",Honduras,HND,Polity
G3,Inter-state wars,Third Sino-Japanese,"Inter-state war: China, Japan",China,CHN,Geography
G3,Inter-state wars,Third Sino-Japanese,"Inter-state war: China, Japan",Japan,JPN,Polity
G3,Inter-state wars,Turco-Cypriot,"Inter-state war: Turkey, Cyprus",Cyprus,CYP,Both
G3,Inter-state wars,Turco-Cypriot,"Inter-state war: Turkey, Cyprus",Türkiye,TUR,Polity
G3,Inter-state wars,Ugandian-Tanzanian,"Inter-state war: Uganda, Tanzania, Libya",Libya,LBY,Polity
G3,Inter-state wars,Ugandian-Tanzanian,"Inter-state war: Uganda, Tanzania, Libya","Tanzania, the United Republic of",TZA,Both
G3,Inter-state wars,Ugandian-Tanzanian,"Inter-state war: Uganda, Tanzania, Libya",Uganda,UGA,Both
G3,Inter-state wars,"Vietnam War, Phase 2","Inter-state war: United States of America, Cambodia, South Korea, Philippines, South Vietnam, Vietnam, Thailand, Australia",Australia,AUS,Polity
G3,Inter-state wars,"Vietnam War, Phase 2","Inter-state war: United States of America, Cambodia, South Korea, Philippines, South Vietnam, Vietnam, Thailand, Australia",Cambodia,KHM,Geography
G3,Inter-state wars,"Vietnam War, Phase 2","Inter-state war: United States of America, Cambodia, South Korea, Philippines, South Vietnam, Vietnam, Thailand, Australia",Korea (the Republic of),KOR,Polity
G3,Inter-state wars,"Vietnam War, Phase 2","Inter-state war: United States of America, Cambodia, South Korea, Philippines, South Vietnam, Vietnam, Thailand, Australia",Lao People's Democratic Republic (the),LAO,Geography
G3,Inter-state wars,"Vietnam War, Phase 2","Inter-state war: United States of America, Cambodia, South Korea, Philippines, South Vietnam, Vietnam, Thailand, Australia",Philippines (the),PHL,Polity
G3,Inter-state wars,"Vietnam War, Phase 2","Inter-state war: United States of America, Cambodia, South Korea, Philippines, South Vietnam, Vietnam, Thailand, Australia",Thailand,THA,Polity
G3,Inter-state wars,"Vietnam War, Phase 2","Inter-state war: United States of America, Cambodia, South Korea, Philippines, South Vietnam, Vietnam, Thailand, Australia",United States of America (the),USA,Polity
G3,Inter-state wars,"Vietnam War, Phase 2","Inter-state war: United States of America, Cambodia, South Korea, Philippines, South Vietnam, Vietnam, Thailand, Australia",Viet Nam,VNM,Geography
G3,Inter-state wars,Vietnamese-Cambodian,"Inter-state war: Vietnam, Cambodia",Cambodia,KHM,Both
G3,Inter-state wars,Vietnamese-Cambodian,"Inter-state war: Vietnam, Cambodia",Viet Nam,VNM,Geography
G3,Inter-state wars,War for Kosovo,"Inter-state war: Turkey, Italy, United Kingdom, United States of America, Netherlands, France, Yugoslavia, Germany",France,FRA,Polity
G3,Inter-state wars,War for Kosovo,"Inter-state war: Turkey, Italy, United Kingdom, United States of America, Netherlands, France, Yugoslavia, Germany",Germany,DEU,Polity
G3,Inter-state wars,War for Kosovo,"Inter-state war: Turkey, Italy, United Kingdom, United States of America, Netherlands, France, Yugoslavia, Germany",Italy,ITA,Polity
G3,Inter-state wars,War for Kosovo,"Inter-state war: Turkey, Italy, United Kingdom, United States of America, Netherlands, France, Yugoslavia, Germany",Kosovo,,Both
G3,Inter-state wars,War for Kosovo,"Inter-state war: Turkey, Italy, United Kingdom, United States of America, Netherlands, France, Yugoslavia, Germany",Montenegro,MNE,Both
G3,Inter-state wars,War for Kosovo,"Inter-state war: Turkey, Italy, United Kingdom, United States of America, Netherlands, France, Yugoslavia, Germany","Netherlands, Kingdom of the",NLD,Polity
G3,Inter-state wars,War for Kosovo,"Inter-state war: Turkey, Italy, United Kingdom, United States of America, Netherlands, France, Yugoslavia, Germany",Serbia,SRB,Both
G3,Inter-state wars,War for Kosovo,"Inter-state war: Turkey, Italy, United Kingdom, United States of America, Netherlands, France, Yugoslavia, Germany",Türkiye,TUR,Polity
G3,Inter-state wars,War for Kosovo,"Inter-state war: Turkey, Italy, United Kingdom, United States of America, Netherlands, France, Yugoslavia, Germany",United Kingdom of Great Britain and Northern Ireland (the),GBR,Polity
G3,Inter-state wars,War for Kosovo,"Inter-state war: Turkey, Italy, United Kingdom, United States of America, Netherlands, France, Yugoslavia, Germany",United States of America (the),USA,Polity
G3,Inter-state wars,War of Attrition,"Inter-state war: Egypt, Israel",Egypt,EGY,Both
G3,Inter-state wars,War of Attrition,"Inter-state war: Egypt, Israel",Israel,ISR,Both
G3,Inter-state wars,War of the Pacific,"Inter-state war: Chile, Peru, Bolivia",Bolivia (Plurinational State of),BOL,Both
G3,Inter-state wars,War of the Pacific,"Inter-state war: Chile, Peru, Bolivia",Chile,CHL,Both
G3,Inter-state wars,War of the Pacific,"Inter-state war: Chile, Peru, Bolivia",Peru,PER,Both
G3,Inter-state wars,War over Angola,"Inter-state war: Cuba, South Africa, Democratic Republic of the Congo, Angola",Angola,AGO,Both
G3,Inter-state wars,War over Angola,"Inter-state war: Cuba, South Africa, Democratic Republic of the Congo, Angola",Congo (the Democratic Republic of the),COD,Polity
G3,Inter-state wars,War over Angola,"Inter-state war: Cuba, South Africa, Democratic Republic of the Congo, Angola",Cuba,CUB,Polity
G3,Inter-state wars,War over Angola,"Inter-state war: Cuba, South Africa, Democratic Republic of the Congo, Angola",South Africa,ZAF,Polity
G3,Inter-state wars,War over Lebanon,"Inter-state war: Israel, Syria",Israel,ISR,Polity
G3,Inter-state wars,War over Lebanon,"Inter-state war: Israel, Syria",Lebanon,LBN,Both
G3,Inter-state wars,War over Lebanon,"Inter-state war: Israel, Syria",Syrian Arab Republic (the),SYR,Polity
G3,Inter-state wars,War over the Aouzou Strip,"Inter-state war: Chad, Libya",Chad,TCD,Both
G3,Inter-state wars,War over the Aouzou Strip,"Inter-state war: Chad, Libya",Libya,LBY,Polity
G3,Inter-state wars,World War I,"Inter-state war: Yugoslavia, Russia, Bulgaria, United Kingdom, Japan, Portugal, Turkey, Belgium, Germany, Greece, Romania, Austria-Hungary, France, Italy, United States of America",Belgium,BEL,Both
G3,Inter-state wars,World War I,"Inter-state war: Yugoslavia, Russia, Bulgaria, United Kingdom, Japan, Portugal, Turkey, Belgium, Germany, Greece, Romania, Austria-Hungary, France, Italy, United States of America",Bulgaria,BGR,Both
G3,Inter-state wars,World War I,"Inter-state war: Yugoslavia, Russia, Bulgaria, United Kingdom, Japan, Portugal, Turkey, Belgium, Germany, Greece, Romania, Austria-Hungary, France, Italy, United States of America",France,FRA,Both
G3,Inter-state wars,World War I,"Inter-state war: Yugoslavia, Russia, Bulgaria, United Kingdom, Japan, Portugal, Turkey, Belgium, Germany, Greece, Romania, Austria-Hungary, France, Italy, United States of America",Germany,DEU,Both
G3,Inter-state wars,World War I,"Inter-state war: Yugoslavia, Russia, Bulgaria, United Kingdom, Japan, Portugal, Turkey, Belgium, Germany, Greece, Romania, Austria-Hungary, France, Italy, United States of America",Greece,GRC,Both
G3,Inter-state wars,World War I,"Inter-state war: Yugoslavia, Russia, Bulgaria, United Kingdom, Japan, Portugal, Turkey, Belgium, Germany, Greece, Romania, Austria-Hungary, France, Italy, United States of America",Italy,ITA,Both
G3,Inter-state wars,World War I,"Inter-state war: Yugoslavia, Russia, Bulgaria, United Kingdom, Japan, Portugal, Turkey, Belgium, Germany, Greece, Romania, Austria-Hungary, France, Italy, United States of America",Japan,JPN,Polity
G3,Inter-state wars,World War I,"Inter-state war: Yugoslavia, Russia, Bulgaria, United Kingdom, Japan, Portugal, Turkey, Belgium, Germany, Greece, Romania, Austria-Hungary, France, Italy, United States of America",Portugal,PRT,Both
G3,Inter-state wars,World War I,"Inter-state war: Yugoslavia, Russia, Bulgaria, United Kingdom, Japan, Portugal, Turkey, Belgium, Germany, Greece, Romania, Austria-Hungary, France, Italy, United States of America",Romania,ROU,Both
G3,Inter-state wars,World War I,"Inter-state war: Yugoslavia, Russia, Bulgaria, United Kingdom, Japan, Portugal, Turkey, Belgium, Germany, Greece, Romania, Austria-Hungary, France, Italy, United States of America",Russian Federation (the),RUS,Both
G3,Inter-state wars,World War I,"Inter-state war: Yugoslavia, Russia, Bulgaria, United Kingdom, Japan, Portugal, Turkey, Belgium, Germany, Greece, Romania, Austria-Hungary, France, Italy, United States of America",Türkiye,TUR,Both
G3,Inter-state wars,World War I,"Inter-state war: Yugoslavia, Russia, Bulgaria, United Kingdom, Japan, Portugal, Turkey, Belgium, Germany, Greece, Romania, Austria-Hungary, France, Italy, United States of America",United Kingdom of Great Britain and Northern Ireland (the),GBR,Both
G3,Inter-state wars,World War I,"Inter-state war: Yugoslavia, Russia, Bulgaria, United Kingdom, Japan, Portugal, Turkey, Belgium, Germany, Greece, Romania, Austria-Hungary, France, Italy, United States of America",United States of America (the),USA,Polity
G3,Inter-state wars,World War I,"Inter-state war: Yugoslavia, Russia, Bulgaria, United Kingdom, Japan, Portugal, Turkey, Belgium, Germany, Greece, Romania, Austria-Hungary, France, Italy, United States of America",Yugoslavia,YUG,Both
G3,Inter-state wars,World War II,"Inter-state war: Hungary, Belgium, France, Yugoslavia, Finland, Norway, Canada, United States of America, United Kingdom, Netherlands, Italy, Romania, Bulgaria, Greece, Brazil, Australia, New Zealand, USSR, Germany, Poland, Japan, Mongolia, China, South Africa, Ethiopia",Australia,AUS,Polity
G3,Inter-state wars,World War II,"Inter-state war: Hungary, Belgium, France, Yugoslavia, Finland, Norway, Canada, United States of America, United Kingdom, Netherlands, Italy, Romania, Bulgaria, Greece, Brazil, Australia, New Zealand, USSR, Germany, Poland, Japan, Mongolia, China, South Africa, Ethiopia",Belgium,BEL,Both
G3,Inter-state wars,World War II,"Inter-state war: Hungary, Belgium, France, Yugoslavia, Finland, Norway, Canada, United States of America, United Kingdom, Netherlands, Italy, Romania, Bulgaria, Greece, Brazil, Australia, New Zealand, USSR, Germany, Poland, Japan, Mongolia, China, South Africa, Ethiopia",Brazil,BRA,Polity
G3,Inter-state wars,World War II,"Inter-state war: Hungary, Belgium, France, Yugoslavia, Finland, Norway, Canada, United States of America, United Kingdom, Netherlands, Italy, Romania, Bulgaria, Greece, Brazil, Australia, New Zealand, USSR, Germany, Poland, Japan, Mongolia, China, South Africa, Ethiopia",Bulgaria,BGR,Both
G3,Inter-state wars,World War II,"Inter-state war: Hungary, Belgium, France, Yugoslavia, Finland, Norway, Canada, United States of America, United Kingdom, Netherlands, Italy, Romania, Bulgaria, Greece, Brazil, Australia, New Zealand, USSR, Germany, Poland, Japan, Mongolia, China, South Africa, Ethiopia",Canada,CAN,Polity
G3,Inter-state wars,World War II,"Inter-state war: Hungary, Belgium, France, Yugoslavia, Finland, Norway, Canada, United States of America, United Kingdom, Netherlands, Italy, Romania, Bulgaria, Greece, Brazil, Australia, New Zealand, USSR, Germany, Poland, Japan, Mongolia, China, South Africa, Ethiopia",China,CHN,Both
G3,Inter-state wars,World War II,"Inter-state war: Hungary, Belgium, France, Yugoslavia, Finland, Norway, Canada, United States of America, United Kingdom, Netherlands, Italy, Romania, Bulgaria, Greece, Brazil, Australia, New Zealand, USSR, Germany, Poland, Japan, Mongolia, China, South Africa, Ethiopia",Ethiopia,ETH,Both
G3,Inter-state wars,World War II,"Inter-state war: Hungary, Belgium, France, Yugoslavia, Finland, Norway, Canada, United States of America, United Kingdom, Netherlands, Italy, Romania, Bulgaria, Greece, Brazil, Australia, New Zealand, USSR, Germany, Poland, Japan, Mongolia, China, South Africa, Ethiopia",Finland,FIN,Both
G3,Inter-state wars,World War II,"Inter-state war: Hungary, Belgium, France, Yugoslavia, Finland, Norway, Canada, United States of America, United Kingdom, Netherlands, Italy, Romania, Bulgaria, Greece, Brazil, Australia, New Zealand, USSR, Germany, Poland, Japan, Mongolia, China, South Africa, Ethiopia",France,FRA,Both
G3,Inter-state wars,World War II,"Inter-state war: Hungary, Belgium, France, Yugoslavia, Finland, Norway, Canada, United States of America, United Kingdom, Netherlands, Italy, Romania, Bulgaria, Greece, Brazil, Australia, New Zealand, USSR, Germany, Poland, Japan, Mongolia, China, South Africa, Ethiopia",Germany,DEU,Both
G3,Inter-state wars,World War II,"Inter-state war: Hungary, Belgium, France, Yugoslavia, Finland, Norway, Canada, United States of America, United Kingdom, Netherlands, Italy, Romania, Bulgaria, Greece, Brazil, Australia, New Zealand, USSR, Germany, Poland, Japan, Mongolia, China, South Africa, Ethiopia",Greece,GRC,Both
G3,Inter-state wars,World War II,"Inter-state war: Hungary, Belgium, France, Yugoslavia, Finland, Norway, Canada, United States of America, United Kingdom, Netherlands, Italy, Romania, Bulgaria, Greece, Brazil, Australia, New Zealand, USSR, Germany, Poland, Japan, Mongolia, China, South Africa, Ethiopia",Hungary,HUN,Both
G3,Inter-state wars,World War II,"Inter-state war: Hungary, Belgium, France, Yugoslavia, Finland, Norway, Canada, United States of America, United Kingdom, Netherlands, Italy, Romania, Bulgaria, Greece, Brazil, Australia, New Zealand, USSR, Germany, Poland, Japan, Mongolia, China, South Africa, Ethiopia",Italy,ITA,Both
G3,Inter-state wars,World War II,"Inter-state war: Hungary, Belgium, France, Yugoslavia, Finland, Norway, Canada, United States of America, United Kingdom, Netherlands, Italy, Romania, Bulgaria, Greece, Brazil, Australia, New Zealand, USSR, Germany, Poland, Japan, Mongolia, China, South Africa, Ethiopia",Japan,JPN,Both
G3,Inter-state wars,World War II,"Inter-state war: Hungary, Belgium, France, Yugoslavia, Finland, Norway, Canada, United States of America, United Kingdom, Netherlands, Italy, Romania, Bulgaria, Greece, Brazil, Australia, New Zealand, USSR, Germany, Poland, Japan, Mongolia, China, South Africa, Ethiopia",Mongolia,MNG,Both
G3,Inter-state wars,World War II,"Inter-state war: Hungary, Belgium, France, Yugoslavia, Finland, Norway, Canada, United States of America, United Kingdom, Netherlands, Italy, Romania, Bulgaria, Greece, Brazil, Australia, New Zealand, USSR, Germany, Poland, Japan, Mongolia, China, South Africa, Ethiopia","Netherlands, Kingdom of the",NLD,Both
G3,Inter-state wars,World War II,"Inter-state war: Hungary, Belgium, France, Yugoslavia, Finland, Norway, Canada, United States of America, United Kingdom, Netherlands, Italy, Romania, Bulgaria, Greece, Brazil, Australia, New Zealand, USSR, Germany, Poland, Japan, Mongolia, China, South Africa, Ethiopia",New Zealand,NZL,Polity
G3,Inter-state wars,World War II,"Inter-state war: Hungary, Belgium, France, Yugoslavia, Finland, Norway, Canada, United States of America, United Kingdom, Netherlands, Italy, Romania, Bulgaria, Greece, Brazil, Australia, New Zealand, USSR, Germany, Poland, Japan, Mongolia, China, South Africa, Ethiopia",Norway,NOR,Both
G3,Inter-state wars,World War II,"Inter-state war: Hungary, Belgium, France, Yugoslavia, Finland, Norway, Canada, United States of America, United Kingdom, Netherlands, Italy, Romania, Bulgaria, Greece, Brazil, Australia, New Zealand, USSR, Germany, Poland, Japan, Mongolia, China, South Africa, Ethiopia",Poland,POL,Both
G3,Inter-state wars,World War II,"Inter-state war: Hungary, Belgium, France, Yugoslavia, Finland, Norway, Canada, United States of America, United Kingdom, Netherlands, Italy, Romania, Bulgaria, Greece, Brazil, Australia, New Zealand, USSR, Germany, Poland, Japan, Mongolia, China, South Africa, Ethiopia",Romania,ROU,Both
G3,Inter-state wars,World War II,"Inter-state war: Hungary, Belgium, France, Yugoslavia, Finland, Norway, Canada, United States of America, United Kingdom, Netherlands, Italy, Romania, Bulgaria, Greece, Brazil, Australia, New Zealand, USSR, Germany, Poland, Japan, Mongolia, China, South Africa, Ethiopia",United Kingdom of Great Britain and Northern Ireland (the),GBR,Both
G3,Inter-state wars,World War II,"Inter-state war: Hungary, Belgium, France, Yugoslavia, Finland, Norway, Canada, United States of America, United Kingdom, Netherlands, Italy, Romania, Bulgaria, Greece, Brazil, Australia, New Zealand, USSR, Germany, Poland, Japan, Mongolia, China, South Africa, Ethiopia",United States of America (the),USA,Polity
G3,Inter-state wars,World War II,"Inter-state war: Hungary, Belgium, France, Yugoslavia, Finland, Norway, Canada, United States of America, United Kingdom, Netherlands, Italy, Romania, Bulgaria, Greece, Brazil, Australia, New Zealand, USSR, Germany, Poland, Japan, Mongolia, China, South Africa, Ethiopia",USSR,SUN,Both
G3,Inter-state wars,World War II,"Inter-state war: Hungary, Belgium, France, Yugoslavia, Finland, Norway, Canada, United States of America, United Kingdom, Netherlands, Italy, Romania, Bulgaria, Greece, Brazil, Australia, New Zealand, USSR, Germany, Poland, Japan, Mongolia, China, South Africa, Ethiopia",Yugoslavia,YUG,Both
G3,Inter-state wars,Yom Kippur War,"Inter-state war: Egypt, Saudi Arabia, Israel, Jordan, Syria, Iraq",Egypt,EGY,Both
G3,Inter-state wars,Yom Kippur War,"Inter-state war: Egypt, Saudi Arabia, Israel, Jordan, Syria, Iraq",Iraq,IRQ,Polity
G3,Inter-state wars,Yom Kippur War,"Inter-state war: Egypt, Saudi Arabia, Israel, Jordan, Syria, Iraq",Israel,ISR,Both
G3,Inter-state wars,Yom Kippur War,"Inter-state war: Egypt, Saudi Arabia, Israel, Jordan, Syria, Iraq",Jordan,JOR,Polity
G3,Inter-state wars,Yom Kippur War,"Inter-state war: Egypt, Saudi Arabia, Israel, Jordan, Syria, Iraq",Saudi Arabia,SAU,Polity
G3,Inter-state wars,Yom Kippur War,"Inter-state war: Egypt, Saudi Arabia, Israel, Jordan, Syria, Iraq",Syrian Arab Republic (the),SYR,Polity
